period,oil_cif_unit_value,oil_fob_unit_value,oil_proxy
2018,0.540987579579226,0.45818329073053304,0.08280428884869301
2019,0.49858591803008456,0.42399881318830795,0.07458710484177661
2020,0.3531720593621426,0.30628729264737836,0.046884766714764214
2021,0.5170275157557256,0.4787014044610024,0.038326111294723186
2022,0.7616120883680104,0.6620545772962526,0.09955751107175781
2023,0.6463442109741349,0.5160373372788127,0.13030687369532212
2024,0.6246758242226078,0.512263323484796,0.11241250073781184
