period,commodity,cmd_code,japan_import_cif_value,japan_import_qty,japan_cif_unit_value,australia_export_fob_value,australia_export_qty,australia_fob_unit_value,lng_freight_proxy
2018,LNG,271111,42890856045.013,82852111000.0,0.5176797009434437,32376707825.449,69539500000,0.46558729679461314,0.052092404148830596
2019,LNG,271111,39905178443.337,77327095000.0,0.5160568678202252,33892669170.006,77157700000,0.4392648973466809,0.0767919704735443
2020,LNG,271111,30056903300.828,74463881216.778,0.40364405950486043,17384240405.265,44962600000,0.3866377924155854,0.01700626708927505
2021,LNG,271111,38976904279.291,74316317000.0,0.5244730343578652,37195047748.195,81416000000,0.4568518196447259,0.06762121471313931
2022,LNG,271111,64254973132.51,71997643000.0,0.8924593980459888,62985760393.454,81563900000,0.7722259528229278,0.12023344522306101
2023,LNG,271111,46409861708.259,66150792000.0,0.7015768111779978,49515175704.916,80973600000,0.6114977684691801,0.09007904270881761
2024,LNG,271111,41180083627.764,65890704000.0,0.6249756206545312,44521041774.551,81275600000,0.5477786909546162,0.07719692969991498
